Ward_ID,LGA,Ward,Population,Routing_Cells,Weighted_2SFCA_per_10000,Median_2SFCA_per_10000,Min_2SFCA_per_10000,Max_2SFCA_per_10000,Mean_Accessible_PHC_Count,Zero_Access_Population,Zero_Access_Pct,2SFCA_Rank,Low_Access_Rank,2SFCA_Quintile
KANO_W376,Shanono,Kadamu,30388.7479224205,55,0.8869684517479365,0.8473313902070284,0.40700338390489404,1.6536066057596037,7.5510640842880745,0.0,0.0,201,284,Moderate
KANO_W377,Shanono,Kokiya,27236.005802631378,53,0.7502616700048923,0.7892638947572822,0.26542153181413736,1.5746936089471706,10.093385685715553,0.0,0.0,309,176,Low
KANO_W378,Shanono,Leni,13215.01634144783,40,1.1458596397804373,1.059657776341969,0.4663932587943772,1.5582176780039079,11.360998155361235,0.0,0.0,102,383,High
KANO_W379,Shanono,Shakogi,26755.797023534775,59,0.9775226196068907,0.932037459197073,0.5918631297214496,1.477416461249247,10.11059307626002,0.0,0.0,168,317,High
KANO_W380,Shanono,Shanono,55399.73110771179,59,1.302822855767775,0.8668619739773903,0.4375493076024231,1.6151226372858614,14.9141330584072,0.0,0.0,66,419,Very High
KANO_W381,Shanono,Tsaure,32465.493579149246,52,0.949265775333666,0.9183412674444804,0.46289010625148064,1.3496925237446233,8.069695102555166,0.0,0.0,175,310,High
KANO_W382,Sumaila,Gala,47001.60040688515,94,0.9132056125408404,0.7509749683903045,0.0,1.4940370164569758,9.65728740218439,52.59457683563232,0.11189954465450046,193,292,High
KANO_W383,Sumaila,Gani,58674.94805884361,128,0.9285531293473599,0.8310349388830117,0.203798727109584,1.2758600807536478,7.488419863586223,0.0,0.0,186,299,High
KANO_W384,Sumaila,Garfa,36573.012796640396,72,0.7293502548256343,0.7605103566873286,0.1405977978628732,1.3229191201130253,9.8372578548606,0.0,0.0,325,160,Low
KANO_W385,Sumaila,Gediya,51390.84586119652,165,0.8836285361497976,0.7628105350774237,0.13557432330399602,1.243433895500355,6.072982659320393,0.0,0.0,204,281,Moderate
KANO_W386,Sumaila,Kanawa,32763.115164995193,65,1.0571193279200395,1.0681449958556695,0.1351511656542065,1.6889095469867887,8.714380214426484,0.0,0.0,128,357,High
KANO_W387,Sumaila,Magami,58535.92874240875,207,0.9371096567423942,0.6277417803958026,0.0,1.7142611433144068,4.406431740511358,3135.6941809654236,5.356870982203519,178,307,High
KANO_W388,Sumaila,Massu,53879.07920587063,227,0.7227481347727169,0.6512898202151777,0.0,1.3781525831195696,3.0562927825759796,2463.156033039093,4.5716372093655036,329,156,Low
KANO_W389,Sumaila,Rimi,42757.55121874809,76,1.4721493845760838,1.2768102704711743,0.0,2.2873167929156737,11.095420162097284,463.6773145198822,1.084433746328699,37,448,Very High
KANO_W390,Sumaila,Rumo,26685.537042617798,101,0.6954087161172992,0.654410930396409,0.0,1.262855924841877,6.445869561895435,953.8306267261505,3.5743355106657493,351,134,Low
KANO_W391,Sumaila,Sitti,45607.68698942661,109,0.8828584583999366,0.7394948677800935,0.0,1.5018456198924908,5.866678848644623,2168.538402557373,4.754765140929231,205,280,Moderate
KANO_W392,Sumaila,Sumaila,55695.37650823593,32,1.164082669263022,1.004442534407426,0.07786736447724084,1.3229191201130253,15.71187687858152,0.0,0.0,98,387,High
KANO_W393,Takai,Bagwaro,26676.15706551075,79,1.2888041704742217,1.3283043842489586,0.2549258740540613,2.1109170214873365,6.45613605020379,0.0,0.0,73,412,Very High
KANO_W394,Takai,Durbunde,64324.04556274414,99,0.8331361400026639,0.6477771403408004,0.15035545996557428,1.245164531917198,12.648936597610557,0.0,0.0,238,247,Moderate
KANO_W395,Takai,Fajewa,38740.45190739632,100,1.2878938018722805,1.0085326232235328,0.4706426800478055,2.4211295821611523,9.488501017360123,0.0,0.0,74,411,Very High
KANO_W396,Takai,Falali,31340.30530309677,47,0.8416565396224317,0.7900779263840966,0.5002145864566717,1.0716624772122998,10.120769293449861,0.0,0.0,231,254,Moderate
KANO_W397,Takai,Farun Ruwa,37682.06753706932,27,1.0315564363707692,0.9198192006181748,0.41599074440246536,1.36220696364161,7.463004680635526,0.0,0.0,142,343,High
KANO_W398,Takai,Kachako,82189.4098482132,47,0.8485484825145508,0.7787823969534382,0.15035545996557428,1.245164531917198,11.458422611448356,0.0,0.0,222,263,Moderate
KANO_W399,Takai,Karfi,27121.89370894432,71,1.0954251733784992,1.108764605018062,0.8050157838613224,2.1099227929845568,8.989997254674375,0.0,0.0,118,367,High
KANO_W400,Takai,Kuka,27273.86196041107,69,0.657800156648958,0.6345180135876686,0.08157486694501088,0.9864000024984848,10.697854805684797,0.0,0.0,381,104,Low
KANO_W401,Takai,Takai,81534.72395372391,81,0.9884751420299872,0.8093581419410658,0.22375687963941934,1.2894446717682226,15.827605768811154,0.0,0.0,164,321,High
KANO_W402,Takai,Zuga,39519.34708738327,63,0.6314309278354052,0.6797009528166297,0.2066282534604071,1.1670845704443138,9.770291589697015,0.0,0.0,393,92,Very Low
KANO_W403,Tarauni,Babban Giji,39371.632573366165,8,0.7544501757801311,0.7520468123096855,0.6440959921996542,0.824067726624482,265.39838968193567,0.0,0.0,306,179,Low
